Slip Angle,Lateral Force,Normal Force
0.176,-567.72,-225.09
0.175,-556.3,-221.63
0.175,-544.3,-216.1
0.174,-538.52,-215.7
0.174,-544.38,-216.13
0.173,-557.18,-218.95
0.172,-570.6,-221.17
0.171,-581.57,-223.57
0.17,-586.4,-226.87
0.17,-584.54,-228.36
0.169,-578.93,-227.72
0.168,-568.34,-226.67
0.168,-558.92,-224.18
0.167,-546.31,-219.7
0.166,-535.98,-216.4
0.165,-536.66,-216.9
0.164,-546.41,-218.46
0.164,-560.22,-220.41
0.163,-572.64,-225.58
0.162,-580.28,-227.34
0.162,-580.44,-228.47
0.161,-576.32,-225.97
0.161,-568.58,-227.63
0.16,-561.02,-226.85
0.159,-550.65,-222.86
0.159,-539.66,-219.27
0.158,-533.84,-217.8
0.157,-537.67,-216.57
0.157,-551.28,-220.29
0.156,-564.89,-221.56
0.155,-574.85,-224.28
0.154,-578.07,-226.24
0.154,-575.98,-226.8
0.153,-571.02,-226.38
0.152,-562.37,-226.56
0.152,-553.92,-225.9
0.151,-544.89,-221.86
0.15,-536.05,-219.6
0.149,-534.09,-217.76
0.148,-540.21,-218.66
0.148,-551.33,-222.21
0.147,-562.26,-225.64
0.147,-569.26,-225.97
0.146,-570.41,-227.72
0.145,-566.46,-225.78
0.145,-560.19,-227.69
0.144,-554.75,-226.46
0.143,-548.55,-225.1
0.143,-538.96,-222.49
0.142,-533.24,-218.87
0.141,-534.58,-218.67
0.14,-542.1,-220.17
0.14,-551.17,-222.32
0.139,-559.45,-224.43
0.138,-564.87,-226.46
0.138,-564.16,-228.11
0.137,-561.55,-226.5
0.136,-556.96,-225.9
0.136,-552.25,-226.83
0.135,-542.47,-224.78
0.134,-533.23,-222.33
0.133,-527.09,-219.66
0.133,-529.26,-221.74
0.132,-537.49,-221.79
0.131,-548.42,-223.45
0.131,-556.7,-225.06
0.13,-560.37,-228.19
0.129,-560.42,-226.29
0.128,-556.12,-228.13
0.128,-549.93,-226.14
0.127,-540.15,-224.36
0.126,-527.12,-221.87
